!  List here the gas phase species used in MISTRA							
!  Blank lines or lines starting with an exclamation mark are ignored							
							
! The first column contains the index of the gas used in MISTRA.							
!    The indexes need to be sorted with increasing numbers							
!    It is possible to comment out some lines and keep the following indexes unchanged							
!    The max index actually used should be identical to 'j1_max' specified in 'gas_species.dat'							
!    The total number of gases actually used (i.e. not commented in the list) will be automatically exported as 'j1_used'							
							
! The second column displays the name of the gas as written in the KPP mechanism.							
!    A maximum of 12 characters is currently allowed, as is in KPP-2.2.3 (Fortran77 output)							
!    (this upper limit can be increased in common_modules.f)							
							
! The third column holds the molecular mass of the gas ( in kg.mol-1 )							
! The fourth and fifth columns holds the initial mixing ratios at ground and top levels in nmol mol-1 (ppb)							
! The sixth column holds the emission rate (in molecules/cm**2/s)							
							
! The seventh column holds the long name for netcdf output.							
!    A maximum of 100 characters is currently allowed							
!    (this upper limit can be increased in common_modules.f)							
							
! Nb	Name     	Mass  	Ground	Top	Emission rate	Long name        	Comment
! #	(12 char)	kg/mol	ppb   	ppb	mlc/cm**2/s	Use _ as space delimiter	
							
! 72	CHBr2I	300E-03				dibromoiodomethane_(gas_phase)	
73	C2H5I	156E-03	0.0	0.0	0.0	iodoethane_(gas_phase)	
74	HIO3	176E-03	0.0	0.0	0.0	HIO3_(gas_phase)	
! 75	NUCV					NUCV_(gas_phase)	
76	SO3	80E-03	0.0	0.0	0.0	sulfur_trioxide_(gas_phase)	
77	HOSO2	81E-03	0.0	0.0	0.0	HOSO2_(gas_phase)	
78	CO2	44E-03	388000.0	388000.0	0.0	CO2_(gas_phase)	
! 79	I2O	270E-03	0.0	0.0		I2O_(gas_phase)	
! 80	I2O3	302E-03	0.0	0.0		I2O3_(gas_phase)	
! 81	I2O4	318E-03	0.0	0.0		I2O4_(gas_phase)	
! 82	I2O5	334E-03	0.0	0.0		I2O5_(gas_phase)	
! 83	INO	157E-03	0.0	0.0		INO_(gas_phase)	
84	Br2O	176E-03	0.0	0.0	0.0	Br2O_(gas_phase)	
85	ClONO	82E-03	0.0	0.0	0.0	ClONO_(gas_phase)	
